id,produit,nom,premier_mot,genre,nombre,dernière lettre
228,244,Armoire de jardin,Armoire,masculin,singulier,e
1688,225,Armoire,Armoire,masculin,singulier,e
1811,225,Armoire de toilette,Armoire,masculin,singulier,e
1751,225,Armoire-lit,Armoire-lit,masculin,singulier,t
241,244,Arrache-liteaux,Arrache-liteaux,masculin,singulier,x
242,244,Arrosage goutte à goutte,Arrosage,masculin,singulier,e
243,244,Arroseur,Arroseur,masculin,singulier,r
244,244,Arrosoir,Arrosoir,masculin,singulier,r
1533,369,Article pour la pêche à la ligne,Article,masculin,pluriel,e
1574,369,Article de natation,Article,masculin,singulier,e
1617,369,Article de sport,Article,masculin,singulier,e
604,194,"Articles de sport d'extérieur pour enfant (jouet : raquette, boule de pétanque en plastique...)",Articles,masculin,pluriel,s
1934,23,Articles en cuir (hors chaussures),Articles,masculin,pluriel,s
694,347,"Aspirateur souffleur thermique, aspirateur souffleur broyeur thermique",Aspirateur,masculin,singulier,r
1336,24,Aspirateur,Aspirateur,masculin,singulier,r
1251,355,Assiette,Assiette,masculin,singulier,e
1858,225,"Assise médicale (non électrique, non motorisée)",Assise,masculin,singulier,e
985,177,Assistant de conduite,Assistant,masculin,singulier,t
791,2,Attelage,Attelage,masculin,singulier,e
1943,452,attelle,attelle,masculin,singulier,e
934,202,Aubergines,Aubergines,féminin,pluriel,s
245,244,Auge,Auge,masculin,singulier,e
486,357,Automobile,Automobile,masculin,singulier,e
689,319,Autopiqueur (DASRI),Autopiqueur,masculin,singulier,r
1498,25,Autoradio,Autoradio,masculin,singulier,o
984,177,Avertisseur de radars,Avertisseur,masculin,singulier,r
560,194,Avion non motorisé,Avion,masculin,singulier,n
1534,369,Aviron,Aviron,masculin,singulier,n
1440,96,Babouches,Babouches,féminin,pluriel,s
580,194,Babyfoot pour enfant (jouet),Babyfoot,masculin,singulier,t
1576,369,Babyfoot,Babyfoot,masculin,singulier,t
170,448,Bac plat à peinture (bricolage),Bac,masculin,singulier,c
172,448,Bac et camion à peinture (bricolage),Bac,masculin,singulier,c
246,244,Bac à fleur,Bac,masculin,singulier,c
1752,225,Bac de rangement,Bac,masculin,singulier,c
1753,225,Bac de rangement à roulettes,Bac,masculin,singulier,c
1901,225,Bac à BD,Bac,masculin,singulier,c
1902,225,Bac à livres,Bac,masculin,singulier,c
247,244,Bâche,Bâche,féminin,singulier,e
248,244,Bâche de bricolage,Bâche,féminin,singulier,e
249,244,Bâche de protection,Bâche,féminin,pluriel,e
989,184,Baffles,Baffles,masculin,pluriel,s
1903,225,Bahut,Bahut,masculin,singulier,t
513,217,Baignoire en céramique,Baignoire,féminin,singulier,e
615,27,Baignoire,Baignoire,féminin,singulier,e
616,26,Baignoire (en fonte),Baignoire,féminin,singulier,e
771,27,Baignoire (en résine ou acrylique),Baignoire,féminin,singulier,e
770,28,"Bain photographique (révélateur, fixateur...)",Bain,masculin,singulier,n
1860,225,Bain de soleil,bain,masculin,singulier,n
994,29,Baladeur,Baladeur,masculin,singulier,r
250,244,Balai à gazon,Balai,masculin,singulier,i
761,31,Balai d'essuie-glace,Balai,masculin,singulier,i
765,30,Balai en bois,Balai,masculin,singulier,i
766,30,Balai en plastique,Balai,masculin,singulier,i
767,30,Balai,Balai,masculin,singulier,i
762,30,Balai-brosse,Balai-brosse,masculin,singulier,e
1904,225,Balancelle de jardin,Balancelle,féminin,singulier,e
1075,370,Balançoire,Balançoire,féminin,singulier,e
763,30,Balayette,Balayette,féminin,singulier,e
251,244,Balconnière,Balconnière,féminin,singulier,e
1076,370,Balle de golf,Balle,féminin,singulier,e
1077,370,"Balle de sport de raquette (badminton, squash, ping-pong)",Balle,féminin,singulier,e
1078,370,Balle de baseball,Balle,féminin,singulier,e
